created_at,in_reply_to_user_id,referenced_tweet,ref_type,text,id,source,user_description,user_created_at,user_followers_count,verified,user_location,user_id,user_screen_name
Mon May 09 06:00:00 +0000 2022,None,1522166274276610048,retweet,RT @RCNi_MHPjournal: Next week is #mentalhealthawarenessweek and loneliness is the theme. Mental Health Practice - the May issue is out tod…,1523543288745435136,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Associate CNO:SLAM 🇬🇧 President:PNAUK 🇵🇭 👨🏽‍🤝‍👨🏼 LGBTQ👨‍⚕️ IPA 👍🏽 Jabali 👉🏽 FSNA,Sat Feb 15 11:48:41 +0000 2020,1047,False,"London, England",1228647215964487680,GoalsOlivers
Mon May 09 06:00:31 +0000 2022,82117681,,,"@gondwanaman @SerkanTheWriter We may need to help the Turkish people get rid of Mr Erdogan too, they deserve better.",1523543417271496706,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Does not suffer fools. Needs to be blunt with most. The evidence speaks for itself. Calling out inequality & genocide deniers. 🇦🇺🇬🇷🇦🇲,Mon Apr 26 09:35:36 +0000 2021,63,False,Gadigal,1386614893483237376,tashneedsawine
Mon May 09 06:00:52 +0000 2022,None,1523534565926522880,retweet,"RT @FreezePeachPoC: Jesus brought the world BACK to the will of God. He was anything but a revolutionary. Revolutionaries destroy.  ""Think…",1523543507386114048,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",No se que poner aquí.,Sun Aug 02 19:55:23 +0000 2015,33,False,None,3400417047,pseudoscience96
Mon May 09 06:01:04 +0000 2022,None,,,CHP Incident Report: May 8 2022 10:56PM Hit and Run No Injuries : Highway 129 at Lee Rd,1523543554492026880,"<a href=""https://californialocal.com"" rel=""nofollow"">California Local Telemetry2</a>",California Local,Thu Jul 09 13:29:08 +0000 2020,304,False,Beautiful Santa Cruz County,1281218764801929216,CALocalSCZ
Mon May 09 06:02:01 +0000 2022,None,1518281146559172608,retweet,RT @b33chichi: In honor of chp 402.1 bc this was literally him,1523543794607878144,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",21 || Haikyuu • AOT • KNY • BHA • most anime 😼❤️,Mon Mar 07 03:32:58 +0000 2022,6,False,None,1500675788265381889,crystalmxxn7071
Mon May 09 06:02:11 +0000 2022,None,1523414993063923712,retweet,RT @LongBeachPost: The move comes as a relief to low-income immigrant families who no longer have to worry about high out of pocket costs o…,1523543836353449986,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Idaho native & multimedia journalist covering the West County for @vcstar Past: @outlooknews @KTLA @ladailynews @ivdailybulletin @pressenterprise (He/Him),Wed May 06 22:18:05 +0000 2009,3114,True,"Ventura, CA",38291678,JournoWes
Mon May 09 06:02:51 +0000 2022,None,1523312922725810176,retweet,RT @vantaeprod: this is applicable to every new tr chp https://t.co/Ex3EfN1si3,1523544003194462208,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","She/her | 25 |Bangtan♡|Jongin♡|MCU♡|Anime&Manga♡|                                                      ''You're mine, forever. And I'm yours, forever.💞''",Mon Sep 06 15:11:46 +0000 2010,382,False,Italia,187553693,ninichim_
Mon May 09 06:03:04 +0000 2022,None,1523536877571440641,retweet,"RT @HTAustralia: Erdogan said they discussed the bilateral relations and regional issues, particularly the incidents some ‘Israeli’ radical…",1523544058404433922,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Justice by Government for the people.,Thu Sep 23 17:11:44 +0000 2021,354,False,None,1441087720424493064,FTellaye
Mon May 09 06:04:14 +0000 2022,1522056330630123520,,,@qxxssa thank u deva,1523544353138155520,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",#cyber,Sat Jan 01 11:52:19 +0000 2022,528,False,None,1477246270267748354,brianothere
Mon May 09 06:05:14 +0000 2022,None,1516476062217261067,retweet,"RT @patri0tsoldier: Pfizer KNEW the 100 mcg Dose Devastated Lymphocytes Dr. Naomi Wolf: ""This could explain why people who have been vaxxe…",1523544603554902018,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Pour la vérité !!! Et l'injustice !!!,Thu Nov 25 13:27:37 +0000 2021,6,False,None,1463861859241631749,Mymycarr
Mon May 09 06:05:20 +0000 2022,None,,,"It was a pleasure to host @RajeevJayadevan on his exciting session on the latest evidence on reinfections, breakthr… https://t.co/srdr3svA1m",1523544628921651200,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Scientist at @IGIBsocial, Former Doctor  Co-founder GUaRDIAN https://t.co/J5eN3vAG3L for #RareDisease #Genomics Pathogen Genomics & Surveillance Views are personal.",Sat Apr 10 04:36:59 +0000 2010,8023,False,Delhi,131401138,vinodscaria
Mon May 09 06:05:25 +0000 2022,None,1523312922725810176,retweet,RT @vantaeprod: this is applicable to every new tr chp https://t.co/Ex3EfN1si3,1523544651642601473,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","a chronic spender, apparently?",Tue Feb 01 13:30:29 +0000 2022,92,False, . . . 🛒  they/them ! ,1488504989366374400,vcniarte
Mon May 09 06:06:10 +0000 2022,1628824092,,,@Akparti Amin,1523544839727751168,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",None,Mon Nov 22 12:14:48 +0000 2021,1,False,None,1462756412929585155,Trkan01730855
