created_at,in_reply_to_user_id,referenced_tweet,ref_type,text,id,source,user_description,user_created_at,user_followers_count,verified,user_location,user_id,user_screen_name
Mon May 09 06:13:14 +0000 2022,None,1523398498590535680,retweet,RT @SedefKabas: Suriyeliler “MÜLTECİ” değil! 1951 Cenevre anlaşmasına göre sadece Avrup’dan göç etmek zorunda kalanlara mülteci deniyor S…,1523546616644325376,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Atatürk milliyetçisi ,Türk oğlu Türk   fenerbahçe taraftarı",Thu Apr 21 22:19:56 +0000 2011,569,False,None,285850243,vatankamac
Mon May 09 06:13:26 +0000 2022,None,1523350045885562880,retweet,RT @Elifgib12042929: Bunları besliyeceğimize mülteci besliyelim daha sevap.. https://t.co/s107oQNOvz,1523546667491897344,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",None,Mon Oct 02 17:46:44 +0000 2017,3316,False,None,914909527543369729,huseyin41ozcan
Mon May 09 06:13:30 +0000 2022,None,1523281937602859008,quote,Vatan ağır işgal altında acil o hal yasası ilan edip mülteci kıyımına başlamamız lazım yoksa halimiz çok kötü olac… https://t.co/3gsXWdU4LO,1523546686072967168,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Akü 21🎓 #cartographer http://Instagram.com/rmarikann,Sun Apr 28 11:23:46 +0000 2019,3644,False,Adana,1122461396636192769,jilletvar
Mon May 09 06:13:36 +0000 2022,None,1523544673276817408,retweet,"RT @ezilenler: Eş Genel Başkanımız Şahin Tümüklü mülteci meselesi hakkında Gazete Duvar'a konuştu:  ""Mülteci meselesi dünyanın yaşadığı ek…",1523546711381397504,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",HAYALGÜCÜ İKTİDARA!!!                                  PER ASPERA AD ASTRA!!,Wed Dec 19 17:29:59 +0000 2018,854,False,"California, USA",1075443135898152961,kargocu6
Mon May 09 06:13:46 +0000 2022,None,1523402589613682688,retweet,RT @alpcanitez: Zafer partisi Arnavutköy İlçe başkanı Duvarlara göçmen karşıtı yazılar yazarken Yakalandı,1523546753999732736,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",#imamhatip  #muif @marunilahiyat  #teolog #ilahiyat  Nefsinden daha büyük düşman tanımamış bir kul.,Sun Feb 13 19:58:28 +0000 2011,1497,False,Türkiye/İstanbul,251758117,mustafaoguzmio
Mon May 09 06:14:04 +0000 2022,None,1521720825715605505,retweet,"RT @Trkr207565721: Kontrolsüz mülteci akımına karşı gelmek IRKÇILIK değildir  Burası Türkiye ""TÜRKİYE TÜRKLERİNDİR"" #ırkcılığahayir http…",1523546828855152640,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Atatürk'ün İzinde. Fenerbahçe Spor Kulübü Genel Kurul Üyesi…,Wed Jul 14 18:59:41 +0000 2010,1400,False,None,166675626,DevriFener
Mon May 09 06:14:06 +0000 2022,None,1523398498590535680,retweet,RT @SedefKabas: Suriyeliler “MÜLTECİ” değil! 1951 Cenevre anlaşmasına göre sadece Avrup’dan göç etmek zorunda kalanlara mülteci deniyor S…,1523546836036112384,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",None,Wed Aug 01 18:55:34 +0000 2018,696,False,None,1024730373333438464,Filizi4
Mon May 09 06:14:07 +0000 2022,1034908562097688577,,,@amdirground Hani yatıp kalkıp mülteci konusunu konuşacaktık?,1523546840838602753,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Atatürk İlke ve İnkılâplarına bağlı Atatürk milliyetçisi 🇹🇷,Fri Jul 06 12:20:55 +0000 2012,941,False,None,628410882,bordorujbenim
Mon May 09 06:14:12 +0000 2022,None,1523443742157332481,retweet,RT @Arda_1881_aa: Akp'nin Ülkemizde Sığınmacı yada Mülteciler ile ilgili herhangibir Kriteri Yoktur...!!! Gelen Kişi Türk Olmasın Yeter...!…,1523546860496965632,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MKA/CM.Son nefesine kadar Türkiye Cumhuriyeti için çalışacak sıradan bir vatandaş.T.C. için tehdit unsuru değil, gerekirse canını verecek olan kişiyim. DM YASAK",Tue Apr 10 18:30:33 +0000 2018,3185,False,None,983774249558175745,IsmiFiliz
Mon May 09 06:14:14 +0000 2022,None,,,Kriket oynamayı kendi ülkesinde yapmayanlar sahilde parklarda oynamak yerine Abd ye mülteci olarak gitseler ya… https://t.co/ihf9jWpdUO,1523546868520677377,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Kendinle mutluysan anlamayanın çok olur. Ben benim Ya sen kimsin 😈   🚫Kalpsiz biriyim Sevgi Aşk Yalan  uzak dursunlar 🚫 ANNESİNE HASRET KALAN BİRIYIM ❤❤,Thu Feb 04 22:36:11 +0000 2016,21738,False,None,4861125158,ulugulay28
Mon May 09 06:14:30 +0000 2022,None,1523541923968946176,retweet,"RT @uyanhadi_: İçişleri Bakan Yardımcısı İsmail Çataklı: “Gördükleri her esmeri mülteci sanıyorlar.” Doğrusu: “Yetkililer, gördükleri her…",1523546938507169792,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",None,Thu Jun 09 21:23:51 +0000 2011,1712,False,Türkiye/Mersin,314193825,gezginates33
Mon May 09 06:14:41 +0000 2022,None,1523398498590535680,retweet,RT @SedefKabas: Suriyeliler “MÜLTECİ” değil! 1951 Cenevre anlaşmasına göre sadece Avrup’dan göç etmek zorunda kalanlara mülteci deniyor S…,1523546984577060864,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Yazdıklarımdan sorumluyum, anladıklarınızdan değil.METU-PHYS",Wed Jun 13 17:00:58 +0000 2018,64,False,"Ankara, Türkiye",1006944530296459266,cenkc06
Mon May 09 06:14:44 +0000 2022,None,1522979801392467973,retweet,"RT @MKA__ATAM: İzmir'in Karaburun ilçesinde bir evin bahçe duvarına çarpan kamyondan, yaklaşık 80 Afgan ve Pakistanlı göçmen çıktı  Ülke r…",1523546996287873024,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",None,Sun Nov 10 21:22:44 +0000 2013,22,False,None,2176220357,AlanyaliK
Mon May 09 06:14:58 +0000 2022,None,1523319831063367684,retweet,"RT @kocuniversity: Işık kirliliğinin göçmen kuşlar için önemli bir tehdit olduğunu biliyor muydunuz? Doğal karanlığın temiz su, hava ve top…",1523547052071800832,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RC '93; Harvard '97; Stanford '03, Ph.D. Conservationist, ecologist, ornithologist @UUtah prof, @kocuniversity fellow @NatGeo risk taker, photographer, explorer",Tue Aug 18 01:43:21 +0000 2009,14637,False,"Salt Lake City, UT",66558585,sekercioglu
