created_at,in_reply_to_user_id,referenced_tweet,ref_type,text,id,source,user_description,user_created_at,user_followers_count,verified,user_location,user_id,user_screen_name
Mon May 09 06:52:20 +0000 2022,None,1523398158340227072,retweet,RT @TahirImran: This is Eurocopter AS350B3 Ecureuil registration AP-BIM owned by government of KP. KP govt has 2 helicopters. The other one…,1523556455772987392,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",I am FEDUP of this Military intervention into political system.,Mon Nov 05 17:17:45 +0000 2012,1028,False,دبئی - لاہور - دبئی,928020558,israrabas
Mon May 09 06:53:26 +0000 2022,None,1523398158340227072,retweet,RT @TahirImran: This is Eurocopter AS350B3 Ecureuil registration AP-BIM owned by government of KP. KP govt has 2 helicopters. The other one…,1523556736308707328,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",I am old (Purana) Pakistani,Sun Jul 05 03:47:59 +0000 2020,3252,False,Sargodha Pakistan,1279622942553526272,NaseerAhmedMi10
Mon May 09 06:53:41 +0000 2022,836388996020383744,,,@supercouillon83 @LilSista2022 allez bim : unfow 🤣,1523556797134835712,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Ah, Biographie ! (Pet)… Biographie…",Mon Nov 29 18:17:47 +0000 2021,866,False,Devines... & sens ton doigt,1465384441719709698,Fdp_Mignon
Mon May 09 06:54:28 +0000 2022,None,1523398158340227072,retweet,RT @TahirImran: This is Eurocopter AS350B3 Ecureuil registration AP-BIM owned by government of KP. KP govt has 2 helicopters. The other one…,1523556993864134656,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ہیں جی!! ایتھے وی کج لکھی دا؟؟🤔,Wed Feb 03 12:32:09 +0000 2021,62,False,دِلاں وچ,1356943479058927618,___Pakistani___
Mon May 09 06:57:07 +0000 2022,None,1523398158340227072,retweet,RT @TahirImran: This is Eurocopter AS350B3 Ecureuil registration AP-BIM owned by government of KP. KP govt has 2 helicopters. The other one…,1523557662272622592,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",A vehement supporter of justice equality and freedom of expression; a patriot Pakistani and straightforward man without any political affiliation.,Sun Apr 15 13:42:24 +0000 2012,3117,False,"Haripur, Pakistan",554355673,nicewy
Mon May 09 06:57:52 +0000 2022,1481384018780344321,,,"@bimmy_bam Happy Mother's Day to your Mum, Bim! 🌹🌼🌷",1523557851125645312,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Fan of @carrieunderwood and @craigdavid,Tue Jun 26 06:37:38 +0000 2018,72,False,None,1011498703264206848,Happy33621753
Mon May 09 06:58:01 +0000 2022,None,1523398158340227072,retweet,RT @TahirImran: This is Eurocopter AS350B3 Ecureuil registration AP-BIM owned by government of KP. KP govt has 2 helicopters. The other one…,1523557886458470400,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Sargodha,Tue Sep 25 17:23:18 +0000 2018,1391,False,"Lyallpur, Pakistan",1044638487612444672,AsifMehmoodapl1
Mon May 09 06:58:08 +0000 2022,1503725793180282880,,,bim jay https://t.co/YMTNvLKzDr,1523557916132843520,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",on ia – akun guyonan⚠️,Tue Mar 15 13:32:32 +0000 2022,54,False,None,1503725793180282880,istirahards
Mon May 09 06:58:49 +0000 2022,None,1523398158340227072,retweet,RT @TahirImran: This is Eurocopter AS350B3 Ecureuil registration AP-BIM owned by government of KP. KP govt has 2 helicopters. The other one…,1523558090687512577,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",None,Mon Mar 28 12:45:10 +0000 2022,34,False,None,1508424922766450699,O_mian_asad
Mon May 09 06:59:34 +0000 2022,None,1523398158340227072,retweet,RT @TahirImran: This is Eurocopter AS350B3 Ecureuil registration AP-BIM owned by government of KP. KP govt has 2 helicopters. The other one…,1523558279326343168,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",political worker.RTs are not endorsement just reference سوال کراچی کا,Sat Aug 20 08:11:41 +0000 2011,1959,False,"London, England",358654440,hasnainadeel
Mon May 09 06:59:47 +0000 2022,None,1523004089843724288,retweet,"RT @MiquideSitio: It's #CAD? It's #BIM?... Nooo, it's #QGIS. Finished the rebuild and redesing project of a flat in #Barcelona. More of 80…",1523558334120415232,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",None,Tue Jan 19 20:47:34 +0000 2010,87,False,None,106519396,csolovera
