created_at,in_reply_to_user_id,referenced_tweet,ref_type,text,id,source,user_description,user_created_at,user_followers_count,verified,user_location,user_id,user_screen_name
Mon May 09 06:51:45 +0000 2022,None,1523256629780619264,retweet,RT @hzr_mhfz: Atanmayan öğretmen için Öğretmen İstihdamı Migros           : 15589 CarrefourSa  : 16457 Bim                 : 17768 A101    …,1523556310867795968,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2021 KPSS atama bekliyor,Mon Jan 03 18:45:18 +0000 2022,230,False,None,1478074879731765258,denizzz343434
Mon May 09 06:52:50 +0000 2022,None,1523433806715232257,retweet,"RT @jahreindota: 3 gündür bir spaces'te ayar verdiğm için ağlayan bu boomerın tek argümanı gamer olmam. ""Hadi abim git oyununu oyna""dan baş…",1523556584991129600,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",None,Wed Aug 28 16:11:08 +0000 2019,149,False,None,1166744916476796928,02Laborant
Mon May 09 06:52:59 +0000 2022,1473356578078216203,,,@SerkanK28702445 @tuncayalcn @PRaporlar @bpthaber Ne verelim abime? %40 CHP ve %50 AKP var elimizde hangisi sana uyar?,1523556620558807040,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",None,Sun Aug 23 13:28:25 +0000 2020,12,False,None,1297526074239266816,FethiKaracn
Mon May 09 06:53:16 +0000 2022,None,1523542048992681984,quote,İstanbul gibimi ihtiyacı var Türkiye nin CHP borç batagında ve istemeyen başkan fala size inanlar ancak öküz olur .… https://t.co/zdke0rcwdL,1523556694365978624,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",None,Fri Mar 18 06:37:40 +0000 2022,178,False,None,1504708384792141834,MuratKiper9
Mon May 09 06:54:32 +0000 2022,None,1523433806715232257,retweet,"RT @jahreindota: 3 gündür bir spaces'te ayar verdiğm için ağlayan bu boomerın tek argümanı gamer olmam. ""Hadi abim git oyununu oyna""dan baş…",1523557010423566337,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",None,Fri Dec 02 10:30:53 +0000 2016,6,False,Türkiye,804633932847284224,rootbach
Mon May 09 06:54:37 +0000 2022,None,1523424278149881857,retweet,"RT @millibekacelal2: Çorumu ülke yapan ,mersini güneydoğuya bağlayan ,kağıthaneyi kağıttepe yapan abim başkan olsa bu yurda neler yapmaz .a…",1523557031541501952,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Vatan bayrak,Thu Sep 16 18:31:31 +0000 2021,104,False,None,1438570993040113670,RRenktas
Mon May 09 06:55:23 +0000 2022,None,1523537018474889218,retweet,"RT @BirTurk_z: Zemheri kışları ılık baharlara çeviren Rabbim Hayatımızda ki tüm zorlukları, lütfu ve inayetiyle kolaylıklara çevirsin🤲 #M…",1523557224978604032,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Görelim mevlam neyler neylerse güzel eyler 🙂,Wed Jul 28 12:57:07 +0000 2021,1617,False,None,1420367642561597444,Umutluyum172
Mon May 09 06:55:46 +0000 2022,None,1523433806715232257,retweet,"RT @jahreindota: 3 gündür bir spaces'te ayar verdiğm için ağlayan bu boomerın tek argümanı gamer olmam. ""Hadi abim git oyununu oyna""dan baş…",1523557319992250369,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Ben bir at sineğiyim,Mon Dec 23 16:52:57 +0000 2019,44,False,None,1209154868520333317,Atsinei6
Mon May 09 06:57:38 +0000 2022,None,,,Bugün rüzgarda savrulan bim poşeti gibiyim.,1523557791528480768,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Dünyada rahat yoktur .,Fri Jun 25 14:10:16 +0000 2021,0,False,None,1408427265822801922,geckalanbirisi
Mon May 09 06:58:46 +0000 2022,None,1523433806715232257,retweet,"RT @jahreindota: 3 gündür bir spaces'te ayar verdiğm için ağlayan bu boomerın tek argümanı gamer olmam. ""Hadi abim git oyununu oyna""dan baş…",1523558078414655488,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",None,Wed Dec 29 06:44:26 +0000 2021,10,False,None,1476081574517035010,alikefal6167
Mon May 09 06:59:07 +0000 2022,None,1456330942784540680,retweet,"RT @aysunislamoglu1: ""Ey Kalpleri çekip çeviren Rabbim, Benim ve arkadaşlarımın kalbini yolun üzeri sabit kıl, Bizleri sırat-ı mustakimden…",1523558164611821569,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Recep Tayyip ERDOĞAN`ın Ölümüne Yoldaşı.Bizi Yoldaş Kılan RABBİME Şükürler Olsun. Mavi Vatan. Hedef 2023–2053–2071 RABBİM Nice Zaferler Nasip Eylesin İNŞAALLAH,Mon Jan 24 16:53:49 +0000 2022,4784,False,"İzmir,9Eylül Üniversitesi Prsn",1485657023807172608,MHalilBilgi3
Mon May 09 06:59:13 +0000 2022,None,1523433806715232257,retweet,"RT @jahreindota: 3 gündür bir spaces'te ayar verdiğm için ağlayan bu boomerın tek argümanı gamer olmam. ""Hadi abim git oyununu oyna""dan baş…",1523558189115256832,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Economist, Turkey Economy ⬇️⬇️⬇️. Not stonks.",Sun Mar 28 16:34:06 +0000 2021,53,False,-∞ to ∞. I am right in middle.,1376210945391857665,goremiyon
Mon May 09 06:59:29 +0000 2022,None,1523256629780619264,retweet,RT @hzr_mhfz: Atanmayan öğretmen için Öğretmen İstihdamı Migros           : 15589 CarrefourSa  : 16457 Bim                 : 17768 A101    …,1523558256689692672,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Türkiye TÜRKlerindir.,Wed Mar 09 18:38:04 +0000 2022,136,False,None,1501628332437352452,Rmzn28049405
