created_at,in_reply_to_user_id,referenced_tweet,ref_type,text,id,source,user_description,user_created_at,user_followers_count,verified,user_location,user_id,user_screen_name
Mon May 09 06:00:23 +0000 2022,,1523398158340227072,retweet,RT @TahirImran: This is Eurocopter AS350B3 Ecureuil registration AP-BIM owned by government of KP. KP govt has 2 helicopters. The other one…,1523543382068396032,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Fri Dec 10 23:39:12 +0000 2021,171,False,,1469451536631681024,Muhamma03643484
Mon May 09 06:01:05 +0000 2022,,1523398158340227072,retweet,RT @TahirImran: This is Eurocopter AS350B3 Ecureuil registration AP-BIM owned by government of KP. KP govt has 2 helicopters. The other one…,1523543561400033280,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hum Jo Marr jaaty hain toh ...

khwab kidhr jaaty hain ?



retweets are not endorsement...",Wed Dec 09 13:42:32 +0000 2009,946,False,Pakistan,95648025,Peace_Prevails
Mon May 09 06:01:10 +0000 2022,,1523398158340227072,retweet,RT @TahirImran: This is Eurocopter AS350B3 Ecureuil registration AP-BIM owned by government of KP. KP govt has 2 helicopters. The other one…,1523543582052782081,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Support @nawazsharifMNS for civil supremacy,Sat Feb 01 16:13:51 +0000 2020,17,False,Pakistan,1223640549254713345,civil_baladast
Mon May 09 06:03:04 +0000 2022,,,,https://t.co/vIsV82Y7c5  exports of domestically produced COVID-19 vaccines have plunged due to weaker protection… https://t.co/ABimlgZhHH,1523544060098609154,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Wed Mar 16 07:41:10 +0000 2022,339,False,,1503999756581806082,EmaanErin
Mon May 09 06:04:11 +0000 2022,,1523398158340227072,retweet,RT @TahirImran: This is Eurocopter AS350B3 Ecureuil registration AP-BIM owned by government of KP. KP govt has 2 helicopters. The other one…,1523544340634927104,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Fri Apr 03 15:38:30 +0000 2015,787,False,"Islamabad, Pakistan",3136426255,ismailchattah94
Mon May 09 06:04:56 +0000 2022,,,,I'm starting the @ifc_js course right now! Let's make AEC great! #bim #ifcjs https://t.co/UrxWAWqqm4,1523544530880196608,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BIMvoice, Civil Engineer passionate about BIM (Building Information Modelling) and Digitization of the built environment",Wed Jun 10 14:27:33 +0000 2020,362,False,Oslo,1270724189205352448,BiMvoice
Mon May 09 06:05:32 +0000 2022,,1523398158340227072,retweet,RT @TahirImran: This is Eurocopter AS350B3 Ecureuil registration AP-BIM owned by government of KP. KP govt has 2 helicopters. The other one…,1523544681648324608,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",intern at mehkma zarat,Sun Oct 13 17:40:31 +0000 2019,19,False,Karachi ,1183437331585474561,khaamkhayal
Mon May 09 06:10:57 +0000 2022,,1523398158340227072,retweet,RT @TahirImran: This is Eurocopter AS350B3 Ecureuil registration AP-BIM owned by government of KP. KP govt has 2 helicopters. The other one…,1523546044771946496,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","National Herbs & Spice Garden
Organic Food Supplements",Wed Aug 27 17:33:00 +0000 2014,2888,False,,2773922322,hasnainshahfsd
Mon May 09 06:11:57 +0000 2022,,1523398158340227072,retweet,RT @TahirImran: This is Eurocopter AS350B3 Ecureuil registration AP-BIM owned by government of KP. KP govt has 2 helicopters. The other one…,1523546293070888961,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,Sun Jun 24 12:27:17 +0000 2012,368,False,,617154984,Aadil_Ahmad_Pk
Mon May 09 06:13:09 +0000 2022,,1523398158340227072,retweet,RT @TahirImran: This is Eurocopter AS350B3 Ecureuil registration AP-BIM owned by government of KP. KP govt has 2 helicopters. The other one…,1523546597396652032,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Follow back is the only reason to Follow U, rest is I am not less “GENIUS” then U.",Wed Aug 24 07:04:49 +0000 2011,4697,False,,361089664,desiroadrunner
Mon May 09 06:14:20 +0000 2022,,1523398158340227072,retweet,RT @TahirImran: This is Eurocopter AS350B3 Ecureuil registration AP-BIM owned by government of KP. KP govt has 2 helicopters. The other one…,1523546896492826624,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",a business man and a social worker,Tue Apr 13 21:08:38 +0000 2010,449,False,Karachi Pakistan,132659910,ZamirDuftry
