created_at,in_reply_to_user_id,referenced_tweet,ref_type,text,id,source,user_description,user_created_at,user_followers_count,verified,user_location,user_id,user_screen_name
Mon May 09 06:30:28 +0000 2022,,,,Babam laptopu bim poşeti ile taşıyor kafayı yicem :d bankadan para çekince gene bim poşetiyle taşıyor bizim için Bi… https://t.co/taJXka24BS,1523550953986998273,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",esnaf öğretmen ilişkisini yürütme çabaları~,Thu Apr 21 05:17:35 +0000 2022,53,False,35’21,1517009546056765445,gulundefteri
Mon May 09 06:32:26 +0000 2022,,1523247565567033344,retweet,RT @celebimehmeta: Biraz utanman olsa sokağa çıkamazdın Nagehan Alçı! https://t.co/qhOQToa7kI,1523551450672279553,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",trt emeklisi,Sat Mar 22 22:05:20 +0000 2014,96,False,"İstanbul, Türkiye",2429692305,EvciHayrettin
Mon May 09 06:33:07 +0000 2022,,1523433806715232257,retweet,"RT @jahreindota: 3 gündür bir spaces'te ayar verdiğm için ağlayan bu boomerın tek argümanı gamer olmam. ""Hadi abim git oyununu oyna""dan baş…",1523551621740851201,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",hiçbir şey,Sun Feb 03 12:28:39 +0000 2019,165,False,,1092037144812683264,HalfMoonGuppy
Mon May 09 06:34:04 +0000 2022,,1523319739908386816,retweet,RT @bgyether: Ağbim 🥲 https://t.co/LNDliVyUuk,1523551862405820417,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Sadece bir anı  için,Sun Jun 20 07:02:31 +0000 2021,2,False,"Ankara, Türkiye",1406507705964105728,Machine63824082
Mon May 09 06:34:14 +0000 2022,,1523247565567033344,retweet,RT @celebimehmeta: Biraz utanman olsa sokağa çıkamazdın Nagehan Alçı! https://t.co/qhOQToa7kI,1523551903531278337,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Erciyes Üniversitesi İletişim Fakültesi Gazeteci/journalist Social Media/Graphic Designer,Thu Jun 26 20:32:32 +0000 2014,384,False,"Ankara, Türkiye",2590227338,psikonews
Mon May 09 06:36:08 +0000 2022,,1523065751787040768,retweet,RT @SASA_VIPP: 12 Yıllık Bazda Getiri.. Dolar - 10 kat Bim  - 13 kat Altın - 16 kat  #SASA 👉 495 kat 🇹🇷🧿🇹🇷 https://t.co/MloOU0Qpy4,1523552382357221377,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sadece Beşiktaş 🏁🏁🦅🦅

Arh (-)",Wed Oct 17 22:23:16 +0000 2012,1657,False,"Küçükçekmece, İstanbul",887653446,halilykselen
Mon May 09 06:36:51 +0000 2022,,1523433806715232257,retweet,"RT @jahreindota: 3 gündür bir spaces'te ayar verdiğm için ağlayan bu boomerın tek argümanı gamer olmam. ""Hadi abim git oyununu oyna""dan baş…",1523552561986301952,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",estoy viviendo en el mundo,Tue Feb 23 22:32:32 +0000 2021,3,False,,1364342334071144448,Karamanibrhm
Mon May 09 06:37:28 +0000 2022,,1523433806715232257,retweet,"RT @jahreindota: 3 gündür bir spaces'te ayar verdiğm için ağlayan bu boomerın tek argümanı gamer olmam. ""Hadi abim git oyununu oyna""dan baş…",1523552717993824256,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Fri Feb 04 22:36:20 +0000 2022,29,False,,1489729517245673475,Atalarhan
Mon May 09 06:37:46 +0000 2022,,1523497129922154500,retweet,"RT @Nurgul908: Gözünüze nûr gönlünüze şifa vercek, elinizden tutup sizi Cennete götürecek iyi insanlarla karşılaştırsın Rab'bim. #Yenihaft…",1523552792916668416,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bizim Rabia’mız, ALLAHUEKBER Dağları’nda, ölümün üzerine, RABBİN'e teslimiyetle giden o kahramanların, yiğitlerin mirasıdır @Rterdogan 🇹🇷",Wed Mar 17 05:45:10 +0000 2021,4824,False,,1372061361161789443,Reisle_Dava
Mon May 09 06:38:04 +0000 2022,,1523247565567033344,retweet,RT @celebimehmeta: Biraz utanman olsa sokağa çıkamazdın Nagehan Alçı! https://t.co/qhOQToa7kI,1523552866665132033,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://instagram.com/yunusulusooy?igshid=uc72tl89ucgi,Wed Oct 02 11:01:17 +0000 2019,59,False,,1179350594538131456,yunusulusooy
Mon May 09 06:39:48 +0000 2022,4112249993,,,@HarbimiDiyon @Akparti @fenerium Süper yaaa,1523553303778406401,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Dijital Haber ve Yorum,Tue Aug 30 09:37:28 +0000 2016,95236,False,"İstanbul, Türkiye",770556029222486016,MediaMuhtari
