created_at,in_reply_to_user_id,referenced_tweet,ref_type,text,id,source,user_description,user_created_at,user_followers_count,verified,user_location,user_id,user_screen_name
Mon May 09 05:59:57 +0000 2022,997923140478160896,,,Ayrıca yüz yüze toplantı yapmalara da başladık filinta gibi giyinip toplantı yapmalara hasretiz. Bitirdin bizi covid,1523543273674924032,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Ints: Sociology, philosophy, psychology, history, art, architecture.

Pro: Product designer, research, communication 

Co-Founder & Strategy Lead @thingsXDC",Sat May 19 19:33:11 +0000 2018,1999,False,Istanbul,997923140478160896,gokbeyinac
Mon May 09 05:59:57 +0000 2022,997923140478160896,,,Ayrıca yüz yüze toplantı yapmalara da başladık filinta gibi giyinip toplantı yapmalara hasretiz. Bitirdin bizi covid,1523543273674924032,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Ints: Sociology, philosophy, psychology, history, art, architecture.

Pro: Product designer, research, communication 

Co-Founder & Strategy Lead @thingsXDC",Sat May 19 19:33:11 +0000 2018,1999,False,Istanbul,997923140478160896,gokbeyinac
Mon May 09 05:59:58 +0000 2022,,1523310277978210308,retweet,"RT @mustafauzbas: Kim kiminle otobüse binmiş tartışmasını boşverin de, Konya Büyükşehir’de 2,50 TL olan toplu ulaşım fiyatının, CHP’nin yö…",1523543278963945476,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Sonsuz hayata geçiş,Thu Feb 03 08:50:59 +0000 2022,43,False,,1489159393232965636,Yusuf19573789
Mon May 09 05:59:58 +0000 2022,,1523508364650729472,retweet,"RT @mimozdemiryemre: Dikkat ‼️ ""Pandemi"" adı altında dayattıklarının bittiğini sanıyorsanız, yanılıyorsunuz. Dertleri, en başından beri o…",1523543281044684800,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ASLOLAN GERÇEKTİR.Galatasaray❤ Gaziantep 💛 🐎💨🔥💯 🇹🇷,Thu Aug 29 16:34:33 +0000 2013,920,False,,1710459104,ozgur1972b
Mon May 09 05:59:59 +0000 2022,,1523374295920959489,retweet,RT @kbr21211: Covid izinleri uzatılmalı bu insanlar ıslah oldu bunca insanın feryadını görmemezlikten gelemezsiniz‼️ Cezaevine Dönmesinler…,1523543281896165376,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Mon Oct 18 17:43:06 +0000 2021,66,False,,1450155331745632268,MehmetcanTrkm14
Mon May 09 05:59:59 +0000 2022,,1523374295920959489,retweet,RT @kbr21211: Covid izinleri uzatılmalı bu insanlar ıslah oldu bunca insanın feryadını görmemezlikten gelemezsiniz‼️ Cezaevine Dönmesinler…,1523543281896165376,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Mon Oct 18 17:43:06 +0000 2021,66,False,,1450155331745632268,MehmetcanTrkm14
Mon May 09 06:00:01 +0000 2022,,,,"Çin'in Guangzhou kentinde günlük yaşam, Kovid-19 salgını nedeniyle caddelere konulan ve bazı bölgelere girişi kısıt… https://t.co/0OYdZZAZuX",1523543290414518274,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","Türkiye'nin Özgür Sesi
Whatsapp İhbar: 0501 413 44 44
https://t.co/p4hhDu6l3o
https://t.co/JTKlkDm29S 
https://t.co/0Xh9u4O71p 
https://t.co/vfSAnfG1d7",Mon Apr 23 11:33:31 +0000 2018,365065,True,"İstanbul, Türkiye",988380341252521984,HaberGlobal
Mon May 09 06:00:01 +0000 2022,,,,"Pandemi, hayatımızda birçok dinamiği değiştirmişken en başta iş dünyasına, çalışma şekline etki etti; biz de bu sür… https://t.co/OTlmFEsYmh",1523543291270160385,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Campaign Türkiye,Wed Oct 05 19:19:21 +0000 2011,38319,True,,385586039,campaigntr
Mon May 09 06:00:03 +0000 2022,,1522979801392467973,retweet,"RT @MKA__ATAM: İzmir'in Karaburun ilçesinde bir evin bahçe duvarına çarpan kamyondan, yaklaşık 80 Afgan ve Pakistanlı göçmen çıktı  Ülke r…",1523543301378699264,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ne sağ'dan ne sol'dan ATATÜRK'ün çizdiği yol'dan..,Thu May 03 09:40:56 +0000 2012,537,False,"İstanbul, Türkiye",569919720,TaylanBasaran10
Mon May 09 06:00:13 +0000 2022,,1523398106842222592,retweet,"RT @jahreindota: 17) Peki bu kadrolar nasıl paylaşılıyor? Gelin CHP İl Başkan Yardımcısı @ozgurnas Bey'den dinleyelim: ""100 kişi alınıyorsa…",1523543340377309184,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Karadenizli sigortacı ve tabii ki Galatasaraylı. Siyaseti sever lakin sadece sever,Fri Oct 14 09:27:17 +0000 2016,91,False,,786860919720669185,gkhnblc08
