created_at,in_reply_to_user_id,referenced_tweet,ref_type,text,id,source,user_description,user_created_at,user_followers_count,verified,user_location,user_id,user_screen_name
Mon May 09 06:43:18 +0000 2022,,1523540968481628163,retweet,RT @HaftiGal: Teenage refugee from the war-torn region of Tigray 'had a narrow escape from drowning in the Mediterranean Sea -- like countl…,1523554182640275458,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I’m from #𝐓𝐢𝐠𝐫𝐚𝐲 the 𝐥𝐚𝐧𝐝 𝐨𝐟 𝟏𝐬𝐭 𝐜𝐢𝐯𝐢𝐥𝐢𝐳𝐚𝐭𝐢𝐨𝐧. currently advocating for My people as it is My duty to be my people’s voice!.,Tue Feb 22 18:23:08 +0000 2022,930,False,United States ,1496188766125363200,HayelomJr
Mon May 09 06:43:20 +0000 2022,,1523540968481628163,retweet,RT @HaftiGal: Teenage refugee from the war-torn region of Tigray 'had a narrow escape from drowning in the Mediterranean Sea -- like countl…,1523554192027426816,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ትግራወይቲ💊❤️,Sat Aug 28 20:42:14 +0000 2021,83,False,,1431718537207459843,Nebyat93476350
Mon May 09 06:43:27 +0000 2022,,1523540968481628163,retweet,RT @HaftiGal: Teenage refugee from the war-torn region of Tigray 'had a narrow escape from drowning in the Mediterranean Sea -- like countl…,1523554221949288448,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Work hard play hard,Sun Apr 24 21:00:12 +0000 2022,157,False,,1518333844000235522,YonasMeb_1111
Mon May 09 06:43:32 +0000 2022,,1523552284986470400,retweet,RT @GamarRaya: Teenage refugee from the war-torn region of Tigray 'had a narrow escape from drowning in the Mediterranean Sea -- like count…,1523554242597822464,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",❤ትግራያውያን ኢና💛,Fri Apr 22 05:11:05 +0000 2022,101,False,,1517370295581093889,HaftiGal
Mon May 09 06:43:37 +0000 2022,,1523539002707509248,retweet,RT @Helen287223432: Teenage refugee from the war-torn region of Tigray 'had a narrow escape from drowning in the Mediterranean Sea -- like…,1523554264991543297,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",ትግራይ ሰብ አለዋ💛❤️✊✊✊,Sat Jan 16 18:04:08 +0000 2021,493,False,,1350504011703734274,Eli73378217
Mon May 09 06:43:49 +0000 2022,,1523290902877421569,retweet,RT @SahajKohli: Happy Mother’s Day to the immigrant moms who left their own homes before they even knew themselves and moved across the wor…,1523554314072903681,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",empty inside but also kinda glamorous,Fri Apr 03 02:50:19 +0000 2009,361,False,Canada,28485212,vssax
Mon May 09 06:43:51 +0000 2022,,1523540968481628163,retweet,RT @HaftiGal: Teenage refugee from the war-torn region of Tigray 'had a narrow escape from drowning in the Mediterranean Sea -- like countl…,1523554323166232576,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Sat Apr 02 16:53:39 +0000 2022,51,False,,1510299240865710086,EliasTeame
Mon May 09 06:43:52 +0000 2022,,1523534032969121792,retweet,"RT @RLRH_Oxford: Today’s the first day of the Refugee-Led Research Festival! All this week we’ll host workshops, discussions, documentary s…",1523554328707219457,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Lawyer | Human Rights | Forced Displacement & Mobility | Chapter Coordinator @KLALegalHackers,Sat Jan 26 12:19:43 +0000 2013,1205,False,Uganda,1121831443,naluwairojoel
Mon May 09 06:43:54 +0000 2022,,1523540968481628163,retweet,RT @HaftiGal: Teenage refugee from the war-torn region of Tigray 'had a narrow escape from drowning in the Mediterranean Sea -- like countl…,1523554335140970496,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ትግራዊይቲ,Thu Jan 20 18:36:50 +0000 2022,3063,False,,1484233238541443076,hc_wss
Mon May 09 06:43:56 +0000 2022,,1523540968481628163,retweet,RT @HaftiGal: Teenage refugee from the war-torn region of Tigray 'had a narrow escape from drowning in the Mediterranean Sea -- like countl…,1523554343341129728,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Tue Mar 09 09:46:21 +0000 2021,343,False,,1369222919176531969,Zimamkiros12
