created_at,in_reply_to_user_id,referenced_tweet,ref_type,text,id,source,user_description,user_created_at,user_followers_count,verified,user_location,user_id,user_screen_name
Mon May 09 06:29:25 +0000 2022,,1523548497517027330,retweet,"RT @Bari1453: Bazen sosyal medya çok işe yarıyor,yoksa bu kaçak göçmen sorunu artarak devam edecekti,ama emniyet güçleri yeni uyandı hergü…",1523550691750408197,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Frankfurt/yozgat,Tue Jan 05 16:50:08 +0000 2021,771,False,Dünya..,1346499193410625536,Trk62287961
Mon May 09 06:29:27 +0000 2022,,1523401192260669440,retweet,"RT @ozlemdogan_: Oysa düzenli göçmen veya yakalanan kaçak göçmen, İl Göç Müdürlüğüne getirildiğinde statüsü, uyruğu ve diğer bilgileri kayı…",1523550698432245760,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Takip edene dönüş yapıyorum...
Takip cezası olduğu zaman biraz geçikebilir...
#UzunADAM
#TALUT

@envarspotgmail1 yedek hesap
#MilliHesaplarYanyana",Sat Oct 01 07:08:11 +0000 2016,4379,False,,782114872695918593,envarspot_cicek
Mon May 09 06:29:28 +0000 2022,,1523432435416928258,retweet,RT @malikejder_: Asıl Dertleri sığınmacılar ya da göçmenler değil.. Göçmen sorunu niyetlerini perdelemek için kullandıkları bir materyal sa…,1523550701930319873,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",yorgun bir adam,Thu Jun 02 19:01:54 +0000 2011,5662,False,iki boyut arasında,309832541,Uraldaglarindan
Mon May 09 06:29:30 +0000 2022,,1523401196278792192,retweet,"RT @ozlemdogan_: Elinde böyle bir sistem olmayan; ister parti başkanı, ister milletvekili olsun, Türkiye’deki göçmen sayısıyla ilgili verdi…",1523550713053208577,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Takip edene dönüş yapıyorum...
Takip cezası olduğu zaman biraz geçikebilir...
#UzunADAM
#TALUT

@envarspotgmail1 yedek hesap
#MilliHesaplarYanyana",Sat Oct 01 07:08:11 +0000 2016,4380,False,,782114872695918593,envarspot_cicek
Mon May 09 06:29:30 +0000 2022,,1523398498590535680,retweet,RT @SedefKabas: Suriyeliler “MÜLTECİ” değil! 1951 Cenevre anlaşmasına göre sadece Avrup’dan göç etmek zorunda kalanlara mülteci deniyor S…,1523550712952942594,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Thu Nov 03 20:07:15 +0000 2016,164,False,"İstanbul, Türkiye",794269731352150026,nazimacomak
Mon May 09 06:29:31 +0000 2022,,1522587144228851712,retweet,RT @jsuisbaco: Abla kimsin bilmiyorum ama sabah 10da çekilen videoyla ‘taksim istiklalde mülteci yok arap paki yok’ izlenimini veremezsin k…,1523550714345443328,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Atatürk'ün düşüncelerini özůmsemiş,bu çerçevede olayları tarafsız bir gözle irdeleyen,düşüncelere saygılı kişiler beni takip etsin lütfen..",Sat Dec 16 17:26:15 +0000 2017,7151,False,"İzmir, Türkiye",942083464567971840,sermaden
Mon May 09 06:29:32 +0000 2022,,1523397324629630976,retweet,RT @tv5televizyonu: Araştırmacı-Yazar Hamza Yardımcıoğlu: Dünya mülteci entegrasyonlarına kendisini hazırlasın! #GizliDosya - @hyardimciog…,1523550719852244993,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Hayat İman Ve Cihattır! Ve İnşaAllah ŞEHADETTİR!!!
@TTAksiyon #TTAksiyon  #SaadetleTakip  #TTMilliGorus @TTaksiyonHANIM #TTAksiyonHanim",Tue Aug 13 10:48:41 +0000 2013,5623,False,,1667481848,SevdamDavam
Mon May 09 06:29:34 +0000 2022,,1523541923968946176,retweet,"RT @uyanhadi_: İçişleri Bakan Yardımcısı İsmail Çataklı: “Gördükleri her esmeri mülteci sanıyorlar.” Doğrusu: “Yetkililer, gördükleri her…",1523550730006585344,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Ne İnim Ne Cinim EMEKLİLİKTE YAŞA TAKILANLAN biriyim!!!,Tue Nov 07 17:16:55 +0000 2017,10408,False,"Eskişehir, Türkiye",927947988860882944,eyt_sunayvatan
Mon May 09 06:29:35 +0000 2022,,1522979801392467973,retweet,"RT @MKA__ATAM: İzmir'in Karaburun ilçesinde bir evin bahçe duvarına çarpan kamyondan, yaklaşık 80 Afgan ve Pakistanlı göçmen çıktı  Ülke r…",1523550732602863616,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,Fri May 24 19:30:05 +0000 2019,56,False,,1132005867560361984,narinnurullah3
Mon May 09 06:29:45 +0000 2022,,1523398498590535680,retweet,RT @SedefKabas: Suriyeliler “MÜLTECİ” değil! 1951 Cenevre anlaşmasına göre sadece Avrup’dan göç etmek zorunda kalanlara mülteci deniyor S…,1523550773333749760,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tek Kişisel Twitter Adresidir. Taklitlerinden Sakınınız...!,Wed Jan 16 14:52:54 +0000 2013,466,False,İstanbul,1095421914,UlkerOzturk9
Mon May 09 06:29:50 +0000 2022,,1523398498590535680,retweet,RT @SedefKabas: Suriyeliler “MÜLTECİ” değil! 1951 Cenevre anlaşmasına göre sadece Avrup’dan göç etmek zorunda kalanlara mülteci deniyor S…,1523550794506596352,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Eğer tanrının mucizeler yarattığına inanıyorsanız, şeytanın da birkaç numarası olduğuna inanmalısınız.",Tue May 11 07:01:58 +0000 2010,54,False,Samsun/Türkiye,142582668,isoter
Mon May 09 06:29:50 +0000 2022,,1522979801392467973,retweet,"RT @MKA__ATAM: İzmir'in Karaburun ilçesinde bir evin bahçe duvarına çarpan kamyondan, yaklaşık 80 Afgan ve Pakistanlı göçmen çıktı  Ülke r…",1523550794871558151,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Evli,Thu May 24 13:07:18 +0000 2012,14,False,,589188279,mustafa0701
Mon May 09 06:29:51 +0000 2022,214930248,,,@umitozdag Bunu yazan arkadaş türkiyenin mülteci işgaline uğramasının israilin işine geleceğini düşünemeyecek kadar akılsız mı ?,1523550801569849344,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",🇹🇷🇹🇷🇹🇷,Mon Mar 05 14:05:19 +0000 2012,166,False,,515500265,Atanamayandisci
