created_at,in_reply_to_user_id,referenced_tweet,ref_type,text,id,source,user_description,user_created_at,user_followers_count,verified,user_location,user_id,user_screen_name
Mon May 09 06:30:00 +0000 2022,,,,"'Erdogan has good reason for turning to the Middle East to improve strained ties, as he has also mellowed his criti… https://t.co/AoMZCyFLLK",1523550836772589570,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","The Australian Strategic Policy Institute is an independent, non-partisan think tank focused on Australia's defence, cyber, tech and strategic policy",Thu Mar 10 03:42:25 +0000 2011,43105,True,"Canberra, Australia",263483174,ASPI_org
Mon May 09 06:30:03 +0000 2022,,,,CHP Incident Report: May 8 2022 11:23PM Traffic Hazard : Highway 51 S at Arb (SR51 S / ARB),1523550851301732352,"<a href=""https://californialocal.com"" rel=""nofollow"">California Local Telemetry2</a>",Voracious reader and community builder.,Tue Mar 09 21:21:35 +0000 2021,38,False,,1369397894508380164,CALocalSAC
Mon May 09 06:31:26 +0000 2022,,,,Erdogan announces return scheme for one million Syrians https://t.co/iyvZSzSIMx via @InfoMigrants,1523551198481350658,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",British Patriot,Tue Feb 08 07:27:17 +0000 2022,71,False,,1490950274831237120,biggusd41260013
Mon May 09 06:31:48 +0000 2022,,1523538453509525505,retweet,"RT @AvinPrabhakar: IMA Covid taskforce Co-Chairman @RajeevJayadevan says ""Glorified term for guesswork"" on WHO report on excessive Covid de…",1523551291821092864,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Writer. Author. India travel. Photography. Wellness. Crypto. Columnist @deccanherald. Odia bohu. INFJ. Ex-accountant. Keeping it real in the city of dreams.,Fri Apr 03 06:33:58 +0000 2009,35135,True,"Mumbai, India",28517909,AboutIndia
Mon May 09 06:33:23 +0000 2022,,1523446070113570816,retweet,RT @EssexPR: @sajidjavid You made Covid policies that made no sense and my Industry was devastated by them. 10pm curfew - unscientific non…,1523551690838134784,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,Wed Oct 21 16:17:30 +0000 2020,157,False,,1318949502347366403,hopskotch67
Mon May 09 06:35:01 +0000 2022,1043991537749610496,,,@STUPIDREACTIONS Prabu deva directed love based movie with song composed by Harris Jayaraj as tribute to Michael Ja… https://t.co/WyCYdd8Q1Q,1523552101313380352,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Sat Nov 23 08:29:51 +0000 2019,0,False,,1198156627808899072,Rajesh62287125
Mon May 09 06:35:19 +0000 2022,,1523316008416473090,retweet,"RT @asosin: A devastating loss of a younger Vermonter suffering from Long COVID that should serve as a reminder that grief transcends age,…",1523552175598686208,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Long Covid March 2020-2003 Post-virus tinnitus/vertigo/Fibro. 3xCancer survivor. Writing a book in the garden.🌸👩‍🌾☕️🚴🏼‍♀️ 🇺🇦🌻,Fri Apr 17 14:28:21 +0000 2009,3006,False,OR Hills,32424767,MindOverColor
Mon May 09 06:35:34 +0000 2022,,,,"Turkey's Erdogan is hoping friendlier ties with Mideast neighbors will help him at home, @ghoshworld writes. But ca… https://t.co/q2Mtw7yfTJ",1523552240094564352,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","The official Twitter account for Bloomberg in the Middle East, bringing you the latest in business and politics. Newsletter: http://bloom.bg/3rKFTrh",Mon Aug 10 16:16:21 +0000 2015,58526,True,Worldwide,3413058154,middleeast
Mon May 09 06:35:43 +0000 2022,,1523430115530919936,retweet,"RT @nordicmonitor: Former spymaster pulls the strings of Turkey’s far-right MHP, an ally of the Erdoğan gov’t https://t.co/kMjG3ojXZN",1523552277017276418,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Journalist @nordicmonitor @LeventKenez,Fri Oct 27 01:54:48 +0000 2017,603,False,"Stockholm, Sweden",923729662005702657,KenezLevent
Mon May 09 06:36:00 +0000 2022,,1523349463812636674,retweet,RT @_____mjb: Reminder that this church was destroyed when the Erdogan regime went to war against its own people because they had voted the…,1523552345984217088,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Human Rights / Education / Art / Armenia. @Columbia '15. There won’t be freedom until we all are free.,Mon Jul 11 11:24:36 +0000 2016,6260,False,Tashkent ,752463594130927616,aniboghoss
Mon May 09 06:36:08 +0000 2022,,1523377589070352384,retweet,RT @aaikolhaairport: Details KLHApt(VAKP) 08May22 No.of🛬:3 No.of✈️:3 No.of🛬PAXs:200 No.of🛫PAXs:156 @IndiGo6E 🛬:2 IGO7991:73 IGO7994:68 🛫:2…,1523552379458965504,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Mon Jan 10 05:20:59 +0000 2022,7,False,"Kolhapur, India",1480409234630066177,Avgeek1234
Mon May 09 06:37:08 +0000 2022,,1523349463812636674,retweet,RT @_____mjb: Reminder that this church was destroyed when the Erdogan regime went to war against its own people because they had voted the…,1523552633939578882,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Yes, i've grown my own dog",Sat Mar 04 17:47:07 +0000 2017,55,False,,838083395813064705,marapel90
Mon May 09 06:38:40 +0000 2022,,1523547970326519808,retweet,RT @jian_choa: Election day scan: 52WH: $CHIB $WEB 52WL: $CHP $EW $FRUIT $MEDIC $PHA $PXP &lt;20% ATH: $HVN $BNCOM $PHN $ICT $FILRT $ANS $SP…,1523553019648004097,"<a href=""https://gambiste.com"" rel=""nofollow"">Gambiste</a>","Check out the best tweets on Stocks. Beware, I am the greatest stocks retweeter. retweets are not endorsment. Find hot stocks with @GambisteFinance.",Wed Jun 05 20:33:56 +0000 2019,16024,False,,1136370591517290496,Gambiste1
Mon May 09 06:39:43 +0000 2022,,1513226989339299841,retweet,RT @YakkaNFT: 🔴#Sneakpeek ALERT 🔸INTRODUCING DEVA SANNIYA🦚👹 Known to hold the prowess to repel various skin ailments To know more details…,1523553282710376448,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,Mon May 09 06:00:14 +0000 2022,0,False,,1523543274107314176,crissysekine11
Mon May 09 06:40:03 +0000 2022,,,,CHP Incident Report: May 8 2022 11:36PM Traffic Collision -- Unknown Injuries : San Felipe Rd at Metcalf Rd,1523553365874987008,"<a href=""https://californialocal.com"" rel=""nofollow"">California Local Telemetry2</a>",Voracious reader and community builder.,Fri May 29 00:13:36 +0000 2020,111,False,Santa Clara County,1266160467925364736,CALocalSCL
Mon May 09 06:40:20 +0000 2022,295218901,,,@VitalikButerin @rebecca_devaney @elonmusk @DrEliDavid Yes! Please integrate anti-covid measures into existing apps… https://t.co/rY1FSMZntz,1523553438323572736,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Technology and Virtual Reality enthusiast. Working at @khora_vr on finding and executing new ways to combine Virtual Realty and Healthcare.,Wed May 13 15:18:47 +0000 2009,616,False,Copenhagen,39770116,ThomasSaaby
Mon May 09 06:42:42 +0000 2022,,,,"BREAKING: Erdoğan Payoff To Trump For Oz ""Endorsemint!""? ""Asking For A Friend..""~Wyatt Matturs #TrumpCoverUp… https://t.co/Nchg8apurR",1523554033000062977,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Artist Generally--GOOGLE: artist general (Top of Over 1B results),Tue Apr 30 06:16:47 +0000 2013,158,False,"Berkeley, California",1391322103,WyattMatturs
