created_at,in_reply_to_user_id,referenced_tweet,ref_type,text,id,source,user_description,user_created_at,user_followers_count,verified,user_location,user_id,user_screen_name
Mon May 09 06:29:23 +0000 2022,,,,Siyasetle aram o kadar iyi ki MHP ile HDP karıştırıp iki saattiir sınıf bana arasındaki farkı anlatmaya çalışıyor ü… https://t.co/yUXqMgKPlb,1523550682040893441,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",İmkanlarımıza tutsağız...,Sat Oct 30 21:17:48 +0000 2021,4645,False,,1454557972823265283,_lavini_a
Mon May 09 06:29:23 +0000 2022,214930248,,,@umitozdag Akp iktidarını tehdit edenlere herşeyi yapar.Onlara göre bu bir savaş ve savaşta herşey mubahtir,1523550683534094336,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Fri Mar 11 20:57:19 +0000 2022,21,False,,1502388168393465864,KadirDe73583294
Mon May 09 06:29:23 +0000 2022,,1523315614638563329,retweet,"RT @NaimBaburoglu: Aziz Sancar: ""Mardin'in Savur ilçesinde annesi babası okuma yazma bilmeyen bir çocuğun eğitim görüp Nobel alması Atatürk…",1523550684238745603,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Atatürk'ün izinde.Aklı ve Vicdanı hür🇹🇷
Aktroll,Fetö,PKK seviciler ⛔⛔Yassah
#Atatürk",Sun Aug 30 16:52:09 +0000 2020,11770,False,,1300113979709239298,sahin_keke
Mon May 09 06:29:24 +0000 2022,1365046793818546178,,,@serdark52868299 @iyilikseveranne @Eskikral06 CHP secmeniyim ve istiyorum kim dedi size bunu .,1523550687715786752,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Atatürk kırmızı çizgimdir .
Turizm emekçisi.
Beğeniler görüldü anlamında . 
RT ler bilgi amaçlıdır .
CHP üyesi",Sat Apr 04 21:38:20 +0000 2015,896,False,,3135191177,murvetusaygin
Mon May 09 06:29:24 +0000 2022,,1523011584431628288,retweet,"RT @H_emice_: Nagehan'ın eski AK Parti'li olduğuna inanan güruh, Mansur Yavaş'ın eski Ülkücü olduğunda inanmıyor..!",1523550687854235649,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Cumhur ittifakı millet aklı...
MHP 🇹🇷 Ak Parti🇹🇷 BBP🇹🇷
CUMHUR ile nice 2023/2053/2071 e
🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷",Mon Jul 26 16:00:41 +0000 2021,1482,False,,1419689085472497670,nsgglrr
Mon May 09 06:29:25 +0000 2022,,1522875260781142017,retweet,RT @OzgurKarabatCHP: 1) ÇÖKÜŞ SÜRECİ BAŞLADI Büyük bir kur krizi ile karşı karşıyayız ve AKP’nin artık yapacağı bir şey yok. AKP’nin inşa e…,1523550691033157632,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",trakyali,Wed Dec 30 11:03:11 +0000 2020,3850,False,,1344237542271569920,tcbekcisi351
Mon May 09 06:29:25 +0000 2022,,1523548497517027330,retweet,"RT @Bari1453: Bazen sosyal medya çok işe yarıyor,yoksa bu kaçak göçmen sorunu artarak devam edecekti,ama emniyet güçleri yeni uyandı hergü…",1523550691750408197,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Frankfurt/yozgat,Tue Jan 05 16:50:08 +0000 2021,771,False,Dünya..,1346499193410625536,Trk62287961
Mon May 09 06:29:25 +0000 2022,,1523291079143215105,retweet,RT @eyyub81: şiz bakmayın 2023 cumhurıyetın 100 yılı af ı için @Akparti ve @herkesicinCHP su an için sessiz ekım kasım ayında tbmm acılsın…,1523550691838808064,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Mon Apr 29 10:50:14 +0000 2019,20,False,,1122815345499234306,Hverdi4
Mon May 09 06:29:26 +0000 2022,,1523370606116302848,retweet,RT @tkruryd: Saadetmi Laik olacak CHP'mi Müslüman olacak Yoksa HDP hepsini dağa mı götürecek.... #EkoBüsYoldanÇıktı,1523550694476709888,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Ve birgün bu profiller ölü insanların günlükleri olarak kalacak.,Sun Dec 26 15:50:35 +0000 2021,6835,False,,1475131863798890496,Eyll81337548
Mon May 09 06:29:26 +0000 2022,80549263,,,@t24comtr MHP ye verilen her oy ülkeyi parçalamaya olmasın,1523550695710146560,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Sat Jul 13 17:04:06 +0000 2019,399,False,,1150088522688339968,Azra96725199
Mon May 09 06:29:27 +0000 2022,,1523543190338383872,retweet,RT @gazetesozcu: Ordu'nun Altınordu ilçesinde AKP'li Büyükşehir Belediyesi mahkeme kararına rağmen sahili talan ediyor! https://t.co/jYM6np…,1523550697849257984,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",🎓| لا إله إلا الله @FurkanDortmund,Sun Jun 02 22:56:29 +0000 2019,233,False,"Dortmund, Deutschland",1135319303484522497,Leylagnr_
Mon May 09 06:29:29 +0000 2022,,1522978144109707264,retweet,RT @osmaniyededeva: 📌 Fakıuşağı TOKİ ev ziyaretimiz. 💧 🌱  Genel Başkanımız Sayın Ali Babacan'ın selamlarını iletmediğimiz tek bir kapı kal…,1523550707701645314,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Yazar (Halk Dilinde) - Yazılımcı - Dost Canlısı - Emekçi - Siyasetçi,Sun Feb 27 18:32:28 +0000 2022,70,False,,1498003075738517507,SonTrollbukucu9
Mon May 09 06:29:32 +0000 2022,,1523526881269608448,retweet,"RT @baristerkoglu: Biz İmamoğlu’nun eski düzene yeni yol arayan pozlarını tartışırken, İslamcılar bir başka fotoğrafı konuşuyordu:  Erdoğan…",1523550718778834944,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",emekliamele,Sun Apr 29 17:52:55 +0000 2012,239,False,bakırköyemekli,566524090,ahmetyaarnl
Mon May 09 06:29:32 +0000 2022,,1523497100314611718,retweet,RT @colakrengin: 6+1 ve Akp Mhp ortaktır Abdullah Gül ve Erdoğan kontrolündeler @umitozdag Hata yapma yürü hocam #ZaferPartisi #KritikKar…,1523550718770450432,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AYAÜRK kırmızı çizgim, çizgiden çıkan CHP’de olsa, çizerim! CHP’nin Atatürk çizgisinden çıkması bizim ayıbımızdır. Bunu’da unutmam!🙏",Wed May 02 10:08:41 +0000 2012,2030,False,,569060292,hakanb9379
Mon May 09 06:29:33 +0000 2022,3556730356,,,"@Ergulyuksel1985 Hayır, değilim. HDP terörist destekçisi PKK'nın yancısıdır. PKK ile masaya oturan CHP değildir.… https://t.co/lrnmOnx95R",1523550724227215360,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",He/Him because there are only 2 genders and i'm clearly a male.,Sat Sep 11 09:25:32 +0000 2021,22,False,Turkey,1436621851464192011,EnisBerkayMert
Mon May 09 06:29:34 +0000 2022,,1523326714465509376,quote,"MHP, aman ortaklığım bozulmasın havasında sesini bile çıkartmıyor.Batan iktidarın, batan oyunları.",1523550726525382656,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Sessiz kalamayan vicdanımın sesiyim ...,Tue Aug 24 15:17:29 +0000 2010,73,False,,182420808,UmuTus_07
Mon May 09 06:29:34 +0000 2022,,1523389605491355648,retweet,"RT @mihrezhanzep: Cübbeli Ahmet Hoca'nın Hdp'ye lanet ettiği tweetinin altında, atatürk pp'li hesaplar Hdp'yi savunup hocaya küfrediyor",1523550726940934144,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Thu May 07 21:34:12 +0000 2020,772,False,Kocaeli    (EVLİ),1258510312246042624,diIek__rte_
Mon May 09 06:29:34 +0000 2022,,1523399841199824896,retweet,RT @once_vatanRte: Size CHP dönemine bir örnek vereyim O dönemde çocuklara çocuk birası içiriliyordu.Hemde ilaç niyetine😁 https://t.co/GlBV…,1523550728215621632,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Lâ tahzen innallâhe meanâ 🇹🇷,Thu May 27 15:10:09 +0000 2021,1333,False,"Muğla, Türkiye",1397932802075774984,hatavenisyan
Mon May 09 06:29:34 +0000 2022,,1523301606145503232,retweet,RT @misvakcaps: Chp’nin adayı “Tuvalet terliği” #ReyMeyYok https://t.co/CrefXhtu7v,1523550729348165637,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Maden Yüksek Müh. A sınıfı İSG uzmanı,Fri Jun 07 10:30:14 +0000 2013,396,False,"Kayseri, Türkiye",1490073422,kutlayseyhan
Mon May 09 06:29:35 +0000 2022,,1523544378869837824,retweet,"RT @MaliGuller: Sorosçuluk, toplumları neoliberalizme açma işidir ve bu nedenle en Sorosçu olan da AKP iktidarıdır: 2013’te 42 milyar dolar…",1523550733521817600,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Kafasının dikine,Sat Jul 13 03:21:50 +0000 2019,1265,False,"Zonguldak, Türkiye",1149881595656134656,hbaskan67
